61,,,,,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted",,,,,,,,,,,,,,,,,,,,,,,,,,,
6101,,,,,"- Men's or boys' overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets), and similar articles, knitted or crocheted, other than those of heading 6103:",,,,6101.20.0000,,,,,- - Of cotton,,Doz.,kg,,,,,,,,,,items name ,gender ,processing ,type of fibre,,hs codes
,,,,,,,,,6101.30.0000,,,,,- - Of manmade fibers,,Doz.,kg,,,,,,,,,,"overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets)",men's or boy's,Knitted or Crocheted,- - Of cotton,,6101.20.0000
,,,,,,,,,6101.90,,,,,- - Of other textile materials:,,,,,,,,,,,,,,,,- - Of manmade fibers,,6101.30.0000
,,,,,,,,,6101.90.0500,,,,,- - - Of wool or fine animal hair,,Doz.,kg,,,,,,,,,,,,,- - Of other textile materials:,,6101.90
,,,,,,,,,6101.90.9000,,,,,- - - Other,,Doz.,kg,,,,,,,,,,,,,- - - Of wool or fine animal hair,,6101.90.0500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Other,,6101.90.9000
6102,,,,,"- Women's or girls' overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets), and similar articles, knitted or crocheted,
other than those of heading 6104:",,,,6102.10.0000,,,,,- - Of wool or fine animal hair,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6102.20.0000,,,,,- - Of cotton,,Doz.,kg,,,,,,,,,,"overcoats, carcoats, capes, cloaks, anoraks (including ski-jackets)",Women's or girls,Knitted or Crocheted,- - Of wool or fine animal hair,,6102.10.0000
,,,,,,,,,6102.30.0000,,,,,- - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,- - Of cotton,,6102.20.0000
,,,,,,,,,6102.90.0000,,,,,- - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,- - Of manmade fibers,,6102.30.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - Of other textile materials,,6102.90.0000
6103,,,,,"- Men's or boys' suits, ensembles, suit-type jackets, blazers, trousers,
bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted:",,,6103.10,,,,,- - Suits:,,6103.10.1000,,,,,- - - Of wool or fine animal hair,,No.,kg,,,,,,,,,
,,,,,,,,,,,,,,,6103.10.2500,,,,,- - - Of synthetic fibers,,No.,kg,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials:,,,,,,,Suits,men's or boy's,Knitted or Crocheted,- - - Of wool or fine animal hair,,6103.10.1000
,,,,,,,,,,,,,,,6103.10.4500,,,,,- - - - Of artificial fibers,,No.,kg,,,,,,,- - - Of synthetic fibers,,6103.10.2500
,,,,,,,,,,,,,,,6103.10.6000,,,,,- - - - Of cotton,,Doz.,kg,,,,,,,- - - Of other textile materials:,,
,,,,,,,,,,,,,,,6103.10.8000,,,,,- - - - Other,,No.,kg,,,,,,,- - - - Of artificial fibers,,6103.10.4500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - - Of cotton,,6103.10.6000
,,,,,,,,,,,,,- - Ensembles:,,6103.22.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,- - - - Other,,6103.10.8000
,,,,,,,,,,,,,,,6103.23.0000,,,,,- - - Of synthetic fibers,,Doz.,kg,,,,,,,,,
,,,,,,,,,,,,,,,6103.29,,,,,- - - Of other textile materials:,,,,,,,,,,,,
,,,,,,,,,,,,,,,6103.29.0500,,,,,- - - - Of wool or fine animal hair,,Doz.,kg,,,,Ensembles,men's or boy's,Knitted or Crocheted,- - - Of cotton,,6103.22.0000
,,,,,,,,,,,,,,,6103.29.1000,,,,,- - - - Of artificial fibers,,Doz.,kg,,,,,,,- - - Of synthetic fibers,,6103.23.0000
,,,,,,,,,,,,,,,6103.29.2000,,,,,- - - - Other,,Doz.,kg,,,,,,,- - - Of other textile materials:,,6103.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - - Of wool or fine animal hair,,6103.29.0500
,,,,,,,,,,,,,- - Suit-type jackets and blazers:,,6103.31.0000,,,,,- - - Of wool or fine animal hair,,Doz.,kg,,,,,,,- - - - Of artificial fibers,,6103.29.1000
,,,,,,,,,,,,,,,6103.32.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,- - - - Other,,6103.29.2000
,,,,,,,,,,,,,,,6103.33.0000,,,,,- - - Of synthetic fibers,,Doz.,kg,,,,,,,,,
,,,,,,,,,,,,,,,6103.39,,,,,- - - Of other textile materials:,,,,,,,,,,,,
,,,,,,,,,,,,,,,6103.39.1000,,,,,- - - - Of artificial fibers,,Doz.,kg,,,,Suit-type jackets and blazers,men's or boy's,Knitted or Crocheted,- - - Of wool or fine animal hair,,6103.31.0000
,,,,,,,,,,,,,,,6103.39.2000,,,,,- - - - Other,,Doz.,kg,,,,,,,- - - Of cotton,,6103.32.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of synthetic fibers,,6103.33.0000
,,,,,,"- - Trousers, bib and brace overalls, breeches and shorts:",,,,,,,,,6103.41.0000,,,,,- - - Of wool or fine animal hair,,Doz.,kg,,,,,,,- - - Of other textile materials:,,6103.39
,,,,,,,,,,,,,,,6103.42.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,- - - - Of artificial fibers,,6103.39.1000
,,,,,,,,,,,,,,,6103.43.0000,,,,,- - - Of synthetic fibers,,Doz.,kg,,,,,,,- - - - Other,,6103.39.2000
,,,,,,,,,,,,,,,6103.49,,,,,- - - Of other textile materials:,,,,,,,,,,,,
,,,,,,,,,,,,,,,6103.49.1500,,,,,- - - - Of artificial fibers,,Doz.,kg,,,,,,,,,
,,,,,,,,,,,,,,,6103.49.3000,,,,,- - - - Other,,Doz.,kg,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trousers, bib and brace overalls, breeches and shorts",men's or boy's,Knitted or Crocheted,- - - Of wool or fine animal hair,,6103.41.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of cotton,,6103.42.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of synthetic fibers,,6103.43.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials:,,6103.49
6104,,,,,"- Women's or girls' suits, ensembles, suit-type jackets, blazers,
dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear) knitted or crocheted:",,,,,,,,,,,,,,,,,,,,,,,,,- - - - Of artificial fibers,,6103.49.1500
,,,,,- - Suits:,,,,6104.13.0000,,,,,- - - Of synthetic fibers,,No.,kg,,,,,,,,,,,,,- - - - Other,,6103.49.3000
,,,,,,,,,6104.19,,,,,- - - Of other textile materials:,,,,,,,,,,,,,,,,,,
,,,,,,,,,6104.19.1200,,,,,- - - - Of artificial fibers,,No.,kg,,,,,,,,,,suits ,Women's or girls,Knitted or Crocheted,- - - Of synthetic fibers,,6104.13.0000
,,,,,,,,,6104.19.5000,,,,,- - - - Of wool or fine animal hair,,No.,kg,,,,,,,,,,,,,- - - Of other textile materials:,,6104.19
,,,,,,,,,6104.19.6000,,,,,- - - - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - - Of artificial fibers,,6104.19.1200
,,,,,,,,,6104.19.9000,,,,,- - - - Other,,No.,kg,,,,,,,,,,,,,- - - - Of wool or fine animal hair,,6104.19.5000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - - Of cotton,,6104.19.6000
,,,,,- - Ensembles:,,,,,,,,,,,,,,,,,,,,,,,,,- - - - Other,,6104.19.9000
,,,,,,,,,6104.22.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6104.23.0000,,,,,- - - Of synthetic fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6104.29,,,,,- - - Of other textile materials:,,,,,,,,,,,,,Ensembles,Women's or girls,Knitted or Crocheted,- - - Of cotton,,6104.22.0000
,,,,,,,,,6104.29.0500,,,,,- - - - Of wool or fine animal hair,,Doz.,kg,,,,,,,,,,,,,- - - Of synthetic fibers,,6104.23.0000
,,,,,,,,,6104.29.1000,,,,,- - - - Of artificial fibers,,Doz.,kg,,,,,,,,,,,,,- - - Of other textile materials:,,6104.29
,,,,,,,,,6104.29.2000,,,,,- - - - Other,,Doz.,kg,,,,,,,,,,,,,- - - - Of wool or fine animal hair,,6104.29.0500
,,,,,- - Suit-type jackets and blazers:,,,,,,,,,,,,,,,,,,,,,,,,,- - - - Of artificial fibers,,6104.29.1000
,,,,,,,,,6104.31.0000,,,,,- - - Of wool or fine animal hair,,Doz.,kg,,,,,,,,,,,,,- - - - Other,,6104.29.2000
,,,,,,,,,6104.32.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6104.33.0000,,,,,- - - Of synthetic fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6104.39,,,,,- - - Of other textile materials:,,,,,,,,,,,,,Suit-type jackets and blazers,Women's or girls,Knitted or Crocheted,- - - Of wool or fine animal hair,,6104.31.0000
,,,,,,,,,6104.39.1000,,,,,- - - - Of artificial fibers,,Doz.,kg,,,,,,,,,,,,,- - - Of cotton,,6104.32.0000
,,,,,,,,,6104.39.2000,,,,,- - - - Other,,Doz.,kg,,,,,,,,,,,,,- - - Of synthetic fibers,,6104.33.0000
,,,,,- - Dresses:,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials:,,6104.39
,,,,,,,,,6104.41.0000,,,,,- - - Of wool or fine animal hair,,Doz.,kg,,,,,,,,,,,,,- - - - Of artificial fibers,,6104.39.1000
,,,,,,,,,6104.42.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - - Other,,6104.39.2000
,,,,,,,,,6104.43.0000,,,,,- - - Of synthetic fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6104.44.0000,,,,,- - - Of artificial fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6104.49.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,,Dresses,Women's or girls,Knitted or Crocheted,- - - Of wool or fine animal hair,,6104.41.0000
,,,,,- - Skirts and divided skirts:,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of cotton,,6104.42.0000
,,,,,,,,,6104.51.0000,,,,,- - - Of wool or fine animal hair,,Doz.,kg,,,,,,,,,,,,,- - - Of synthetic fibers,,6104.43.0000
,,,,,,,,,6104.52.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - Of artificial fibers,,6104.44.0000
,,,,,,,,,6104.53.0000,,,,,- - - Of synthetic fibers,,Doz.,kg,,,,,,,,,,,,,- - - Of other textile materials,,6104.49.0000
,,,,,,,,,6104.59,,,,,- - - Of other textile materials:,,,,,,,,,,,,,,,,,,
,,,,,,,,,6104.59.1000,,,,,- - - - Of artificial fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6104.59.2000,,,,,- - - - Other,,Doz.,kg,,,,,,,,,, Skirts and divided skirts,Women's or girls,Knitted or Crocheted,- - - Of wool or fine animal hair,,6104.51.0000
"- - Trousers, bib and brace overalls, breeches and shorts:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of cotton,,6104.52.0000
,,,,,,,,,6104.61.0000,,,,,- - - Of wool or fine animal hair,,Doz.,kg,,,,,,,,,,,,,- - - Of synthetic fibers,,6104.53.0000
,,,,,,,,,6104.62.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - Of other textile materials:,,6104.59
,,,,,,,,,6104.63.0000,,,,,- - - Of synthetic fibers,,Doz.,kg,,,,,,,,,,,,,- - - - Of artificial fibers,,6104.59.1000
,,,,,,,,,6104.69,,,,,- - - Of other textile materials:,,,,,,,,,,,,,,,,- - - - Other,,6104.59.2000
,,,,,,,,,6104.69.1500,,,,,- - - - Of artificial fibers,,Doz.,kg,,,,,,,,,,"Trousers, bib and brace overalls, breeches and shorts:",Women's or girls,Knitted or Crocheted,- - - Of wool or fine animal hair,,6104.61.0000
,,,,,,,,,6104.69.3000,,,,,- - - - Other,,Doz.,kg,,,,,,,,,,,,,- - - Of cotton,,6104.62.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of synthetic fibers,,6104.63.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials:,,6104.69
6105,,,,,"- Men's or boys' shirts, knitted or crocheted:",,,,6105.10.0000,,,,,- - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - - Of artificial fibers,,6104.69.1500
,,,,,,,,,6105.20.0000,,,,,- - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,- - - - Other,,6104.69.3000
,,,,,,,,,6105.90.0000,,,,,- - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6106,,,,,"- Women's or girls' blouses and shirts, knitted or crocheted:",,,,6106.10.0000,,,,,- - Of cotton,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6106.20.0000,,,,,- - Of manmade fibers,,Doz.,kg,,,,,,,,,,shirts,men's and boy's,Knitted or Crocheted,- - Of cotton,,6105.10.0000
,,,,,,,,,6106.90.0000,,,,,- - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,- - Of manmade fibers,,6105.20.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - Of other textile materials,,6105.90.0000
6107,,,,,"- Men's or boys' underpants, briefs, nightshirts, pajamas, bathrobes,
dressing gowns and similar articles, knitted or crocheted:",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - Underpants and briefs:,,,,6107.11.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6107.12.0000,,,,,- - - Of manmade fibers,,Doz.,kg,,,,,,,,,,"blouses , shirts",Women's or girls' ,Knitted or Crocheted,- - Of cotton,,6106.10.0000
,,,,,,,,,6107.19.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,- - Of manmade fibers,,6106.20.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - Of other textile materials,,6106.90.0000
,,,,,- - Nightshirts and pajamas:,,,,6107.21.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6107.22.0000,,,,,- - - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6107.29.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,,"underpants, briefs",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6107.11.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of manmade fibers,,6107.12.0000
,,,,,- - Other:,,,,6107.91.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - Of other textile materials,,6107.19.0000
,,,,,,,,,6107.99,,,,,- - - Of other textile materials:,,,,,,,,,,,,,,,,,,
,,,,,,,,,6107.99.1000,,,,,- - - - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6107.99.8000,,,,,- - - - Other,,Doz.,kg,,,,,,,,,," nightshirts, pajamas",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6107.21.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of manmade fibers,,6107.22.0000
6108,,,,,"- Women's or girls' slips, petticoats, briefs, panties, nightdresses, pajamas, negligees, bathrobes, dressing gowns and similar articles,
knitted or crocheted:",,,,,,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials,,6107.29.0000
,,,,,- - Slips and petticoats:,,,,6108.11.0000,,,,,- - - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6108.19.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,," bathrobes,dressing gowns",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6107.91.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials:,,6107.99
,,,,,- - Briefs and panties:,,,,6108.21.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - - Of manmade fibers,,6107.99.1000
,,,,,,,,,6108.22.0000,,,,,- - - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,- - - - Other,,6107.99.8000
,,,,,,,,,6108.29.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,," slips, petticoats",men's or boy's,Knitted or Crocheted,- - - Of manmade fibers,,6108.11.0000
,,,,,- - Nightdresses and pajamas:,,,,6108.31.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - Of other textile materials,,6108.19.0000
,,,,,,,,,6108.32.0000,,,,,- - - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6108.39.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - Other:,,,,6108.91.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6108.92.0000,,,,,- - - Of manmade fibers,,Doz.,kg,,,,,,,,,,"briefs, panties",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6108.21.0000
,,,,,,,,,6108.99.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,- - - Of manmade fibers,,6108.22.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials,,6108.29.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109,,,,,"- T-shirts, singlets, tank tops and similar garments, knitted or
crocheted:",,,,,,,,,,,,,,,,,,,,,,,,,,,
6109.10,,,,,- - Of cotton:,,,,,,,,,,,,,,,,,,,,,,"nightdresses, pajamas",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6108.31.0000
,,,,,- - - Men's or boys':,,,,6109.10.0004,,,,,"- - - - T-shirts, all white, short hemmed sleeves,hemmed bottom,
crew or round neckline, or V-neck, with a mitered seam at the center of the V, without pockets, trim or embroidery",,,,,,,,,,,,,,,,- - - Of manmade fibers,,6108.32.0000
,,,,,,,,,,,,,,,,Doz.,kg,,,,,,,,,,,,,- - - Of other textile materials,,6108.39.0000
,,,,,,,,,6109.10.0007,,,,,"- - - - Singlets, all white, without pockets, trim or embroidery",,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6109.10.0011,,,,,- - - - Thermal undershirts,,Doz.,kg,,,,,,,,,,"negligees, bathrobes, dressing gowns",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6108.91.0000
